# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
2 1.39430180e+03 2.35625640e+00 1.08226840e+00 -7.54740210e-02 8.68034750e+01 6.90136370e-02 1.58344430e-01 1.53137200e-02 1.05513780e-09 3.02598110e-01 2.28002930e-01 6.97353940e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.12511920e-02 6.57424660e-02 3.36936180e-02 4.54287820e-02 1.05513780e+00 1.02331150e+00 1.13916530e+01 1.31997740e+02 1.14578625e+02 6.15158490e-02 1.14250440e+03 1.64480280e+03 6.48161230e-01 6.48161230e-01 2.78730720e+03 1.14250440e+03 1.64480280e+03
2 1.21127360e+03 2.42550030e+00 1.06933760e+00 -1.74366270e-02 9.47407760e+01 5.65405500e-02 1.79002410e-01 5.30909710e-01 1.13078850e-09 2.63138040e-01 2.36187830e-01 7.36821710e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.88469040e-01 3.99105710e-01 1.99272900e-01 2.78228960e-01 1.13078850e+00 3.91056100e-01 1.04517450e+01 1.19910910e+02 1.13604527e+02 3.63820870e-01 7.64107000e+02 1.65714390e+03 6.48161230e-01 6.48161230e-01 2.42125090e+03 7.64107000e+02 1.65714390e+03
13 1.10922050e+03 3.89640910e+00 1.13756180e+00 -9.01743300e-03 9.67620230e+01 5.41076480e-02 1.83457110e-01 3.48874290e-01 4.92253670e-09 2.54418930e-01 2.38209620e-01 7.45542490e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 1.16823540e+00 1.18762110e+00 5.89257440e-01 8.29693560e-01 4.92253670e+00 2.44996910e+00 1.02640760e+01 1.16381080e+02 1.12612687e+02 1.07583200e+00 5.55432810e+02 1.66171200e+03 6.48161230e-01 6.48161230e-01 2.21714480e+03 5.55432810e+02 1.66171200e+03
6 1.10944880e+03 1.98740480e+00 1.05813110e+00 -9.02158430e-03 9.67549350e+01 5.40954180e-02 1.83433200e-01 3.48781720e-01 7.29657300e-10 2.54417610e-01 2.38173490e-01 7.45543800e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.30541650e-01 4.37702080e-01 2.17164460e-01 3.05774990e-01 7.29657300e-01 3.63221020e-01 1.02648770e+01 1.16393370e+02 1.12616329e+02 3.96486250e-01 5.55887100e+02 1.66171420e+03 6.48161230e-01 6.48161230e-01 2.21760130e+03 5.55887100e+02 1.66171420e+03
1 9.02881790e+02 2.41568940e+00 1.15633630e+00 3.47089600e-03 9.41136060e+01 4.45961680e-02 1.78907360e-01 3.71975240e-01 1.11974870e-09 2.53064260e-01 2.24148390e-01 7.46894960e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 9.02380360e-01 9.30172350e-01 4.53946880e-01 6.40025580e-01 1.11974870e+00 5.32141330e-01 1.04663010e+01 1.15044190e+02 1.08272236e+02 8.28789820e-01 1.45072760e+02 1.65939450e+03 6.48161230e-01 6.48161230e-01 1.80446730e+03 1.45072760e+02 1.65939450e+03
22 8.52833030e+02 3.58223570e+00 8.05811740e-01 1.73050940e-02 9.60538180e+01 3.58454930e-02 1.88097620e-01 5.97312780e-01 3.59538320e-09 2.43420560e-01 2.24587980e-01 7.56540290e-01 2.49739990e-01 2.51085690e-01 1.15361030e+00 10 2.30937820e+00 2.35633890e+00 1.13939340e+00 1.62212520e+00 3.59538320e+00 1.08874430e+00 1.02432160e+01 1.09026380e+02 1.04724001e+02 2.08023820e+00 4.11474280e+01 1.66322230e+03 6.48161230e-01 6.48161230e-01 1.70436970e+03 4.11474280e+01 1.66322230e+03
11 8.55992710e+02 3.56930760e+00 8.03704180e-01 3.03520440e-02 9.01685880e+01 1.30217050e-02 1.73615860e-01 4.98190200e-01 3.54920100e-09 2.30349100e-01 1.87282430e-01 7.69606470e-01 2.39904330e-01 2.41214070e-01 6.04389190e+00 10 3.78256660e+00 3.98344610e+00 1.81543140e+00 2.62049420e+00 3.54920100e+00 1.31041270e+00 1.09277020e+01 1.16888800e+02 1.05396980e+02 3.31450910e+00 4.05096070e+01 1.67017950e+03 6.48161230e-01 6.48161230e-01 1.71068910e+03 4.05096070e+01 1.67017950e+03
12 8.55942690e+02 2.97981520e+00 9.26956150e-01 3.02794220e-02 9.01822660e+01 1.30983340e-02 1.73618270e-01 4.97611240e-01 1.96841790e-09 2.30376400e-01 1.87361470e-01 7.69579180e-01 2.39966420e-01 2.41276390e-01 5.98924940e+00 10 3.03660310e+00 3.19762440e+00 1.45749480e+00 2.10376640e+00 1.96841790e+00 7.27608340e-01 1.09265330e+01 1.16888490e+02 1.05412689e+02 2.66100930e+00 4.04060350e+01 1.67018300e+03 6.48161230e-01 6.48161230e-01 1.71058910e+03 4.04060350e+01 1.67018300e+03
4 8.30070540e+02 3.21554150e+00 9.29530350e-01 1.82226390e-02 8.93626780e+01 2.49940490e-02 1.88684950e-01 6.15849050e-01 2.49167810e-09 2.68384970e-01 2.14323870e-01 7.31569790e-01 2.46430020e-01 2.47763770e-01 2.15911570e+00 10 2.22266090e+00 2.35123000e+00 1.15146910e+00 1.59978920e+00 2.49167810e+00 7.27063330e-01 1.07046930e+01 1.15103540e+02 1.02859606e+02 2.10228540e+00 1.35455470e+01 1.64529920e+03 6.48161230e-01 6.48161230e-01 1.65884480e+03 1.35455470e+01 1.64529920e+03
10 8.29984480e+02 3.36850870e+00 9.34598700e-01 2.23318890e-02 8.80749770e+01 1.84283580e-02 1.87460050e-01 6.30626030e-01 2.90351940e-09 2.66247140e-01 2.06533280e-01 7.33706290e-01 2.43485690e-01 2.44808690e-01 3.51957930e+00 10 2.83954200e+00 3.02567330e+00 1.46517930e+00 2.03971520e+00 2.90351940e+00 8.22564410e-01 1.08398480e+01 1.16727240e+02 1.02807490e+02 2.67503920e+00 1.32417710e+01 1.64543090e+03 6.48161230e-01 6.48161230e-01 1.65867260e+03 1.32417710e+01 1.64543090e+03
