# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau A_planck calib_100T calib_217T A_cib_217 xi_sz_cib A_sz ksz_norm gal545_A_100 gal545_A_143 gal545_A_143_217 gal545_A_217 ps_A_100_100 ps_A_143_143 ps_A_143_217 ps_A_217_217 galf_TE_A_100 galf_TE_A_100_143 galf_TE_A_100_217 galf_TE_A_143 galf_TE_A_143_217 galf_TE_A_217 As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__CMB chi2__SN minuslogprior minuslogprior__0 minuslogprior__SZ chi2 chi2__planck_2018_lowl.TT chi2__planck_2018_lowl.EE chi2__planck_2018_highl_plik.TTTEEE chi2__planck_2018_lensing.clik chi2__bao.desi_dr2 chi2__sn.desdovekie
1 2.67415390e+03 3.04455940e+00 9.62625080e-01 5.52743170e-04 6.72729810e+01 2.23951860e-02 1.19305420e-01 4.81572760e-02 9.95561940e-01 1.00064080e+00 9.96533790e-01 6.39704390e+01 2.74244940e-01 4.23070000e+00 2.92300100e-01 1.12332210e+01 1.01508590e+01 1.72018130e+01 7.54725680e+01 2.69653480e+02 4.01262320e+01 3.12111910e+01 1.25321540e+02 -1.04826370e-01 1.38348190e-01 1.93262500e-01 3.96499540e-01 7.14837980e-01 1.88962450e+00 2.10007760e-09 3.14530180e-01 1.42345480e-01 6.85389990e-01 2.45405300e-01 2.46735320e-01 2.58088280e+00 7.02995040e+00 8.22194320e-01 1.00243020e+00 4.61111160e-01 6.15729630e-01 2.10007760e+00 1.90724490e+00 1.38165010e+01 1.46851340e+02 9.87912741e+01 8.41869950e-01 4.05352710e+01 3.57695430e+03 1.63246790e+03 4.91751840e+01 4.68272620e+01 2.34792150e+00 5.24995750e+03 2.55974250e+01 3.95709690e+02 3.14024060e+03 1.54065970e+01 4.05352710e+01 1.63246790e+03
3 2.59136000e+03 3.04124020e+00 9.57930710e-01 5.52743170e-04 6.72729810e+01 2.23951860e-02 1.19305420e-01 4.81572760e-02 9.95528130e-01 1.00087750e+00 9.97516860e-01 6.08251000e+01 2.51229540e-01 4.02962380e+00 4.60390930e+00 9.65776370e+00 9.23316710e+00 1.84797300e+01 8.00336770e+01 3.00250740e+02 3.85798950e+01 2.80765230e+01 1.21822170e+02 -1.40799860e-01 1.37646280e-01 9.75821550e-02 3.68905350e-01 6.11815750e-01 1.71937740e+00 2.09311870e-09 3.14530180e-01 1.42345480e-01 6.85389990e-01 2.45405300e-01 2.46735320e-01 2.58088280e+00 7.02995040e+00 8.19379060e-01 9.98997780e-01 4.59532280e-01 6.13621320e-01 2.09311870e+00 1.90092500e+00 1.38165010e+01 1.46851340e+02 9.87912741e+01 8.38987320e-01 4.05352710e+01 3.40080120e+03 1.63246790e+03 5.44577660e+01 5.23065180e+01 2.15124830e+00 5.07380440e+03 2.66331220e+01 3.95701690e+02 2.96530340e+03 1.31630720e+01 4.05352710e+01 1.63246790e+03
4 2.42303320e+03 3.02872660e+00 9.56905200e-01 5.29575130e-04 6.84015090e+01 2.23415830e-02 1.19596100e-01 4.13737750e-02 9.95999200e-01 1.00060390e+00 9.97621030e-01 6.89367040e+01 3.49567620e-01 7.95874100e-01 5.44685570e+00 9.62021540e+00 8.48836650e+00 1.42242640e+01 6.98687010e+01 2.99607630e+02 4.30954380e+01 1.96010250e+01 1.05627500e+02 -1.33816540e-01 1.24652470e-01 1.36702650e-01 2.94257080e-01 6.45046310e-01 1.86712570e+00 2.06708930e-09 3.04743890e-01 1.42582550e-01 6.95178890e-01 2.45384090e-01 2.46714030e-01 2.59091940e+00 6.31555500e+00 8.18060590e-01 9.89128300e-01 4.51599000e-01 6.07811930e-01 2.06708930e+00 1.90292830e+00 1.37100410e+01 1.46850590e+02 1.00448020e+02 8.24503200e-01 1.42107610e+01 3.09692770e+03 1.63426040e+03 5.03337590e+01 4.78869320e+01 2.44682790e+00 4.74539890e+03 2.69312290e+01 3.96768030e+02 2.66371710e+03 9.51127450e+00 1.42107610e+01 1.63426040e+03
2 2.34381890e+03 3.03155300e+00 9.61498100e-01 5.29575130e-04 6.84015090e+01 2.23415830e-02 1.19596100e-01 4.13737750e-02 9.97641830e-01 1.00015990e+00 9.97568190e-01 4.93084720e+01 8.63866030e-01 1.22923180e+00 4.05403730e+00 7.43264480e+00 4.92741440e+00 1.49113450e+01 8.14321480e+01 2.72856860e+02 4.73316930e+01 3.44649330e+01 1.25973750e+02 2.00780010e-02 2.03290130e-01 2.46294580e-01 2.71787410e-01 5.32808170e-01 1.49000190e+00 2.07294010e-09 3.04743890e-01 1.42582550e-01 6.95178890e-01 2.45384090e-01 2.46714030e-01 2.59091940e+00 6.31555500e+00 8.20662360e-01 9.92274140e-01 4.53035270e-01 6.09745020e-01 2.07294010e+00 1.90831450e+00 1.37100410e+01 1.46850590e+02 1.00448020e+02 8.27125460e-01 1.42107610e+01 2.96693430e+03 1.63426040e+03 3.61161470e+01 3.34261090e+01 2.69003840e+00 4.61540550e+03 2.55482850e+01 3.96794490e+02 2.53471350e+03 9.87800730e+00 1.42107610e+01 1.63426040e+03
11 2.32847890e+03 3.02314000e+00 9.63770080e-01 5.29575130e-04 6.84015090e+01 2.23415830e-02 1.19596100e-01 4.13737750e-02 9.94006950e-01 1.00018330e+00 9.96970920e-01 3.79555670e+01 7.81233870e-01 5.30438730e+00 1.33767450e+00 7.81722800e+00 5.61034660e+00 2.00530010e+01 9.39749200e+01 2.33003560e+02 4.14084510e+01 4.25879230e+01 1.39118000e+02 -5.29253800e-03 1.27123660e-01 3.44352640e-01 2.64786460e-01 5.68759470e-01 1.71039810e+00 2.05557350e-09 3.04743890e-01 1.42582550e-01 6.95178890e-01 2.45384090e-01 2.46714030e-01 2.59091940e+00 6.31555500e+00 8.17931440e-01 9.88972150e-01 4.51527710e-01 6.07715980e-01 2.05557350e+00 1.89232710e+00 1.37100410e+01 1.46850590e+02 1.00448020e+02 8.24373030e-01 1.42107610e+01 2.94016500e+03 1.63426040e+03 3.41608330e+01 3.21374250e+01 2.02340780e+00 4.58863620e+03 2.48433760e+01 3.96838830e+02 2.50905060e+03 9.43219480e+00 1.42107610e+01 1.63426040e+03
1 2.31393080e+03 3.02431460e+00 9.61360880e-01 5.29575130e-04 6.84015090e+01 2.23415830e-02 1.19596100e-01 4.13737750e-02 9.94758780e-01 1.00122600e+00 9.97752490e-01 3.63376050e+01 7.61214540e-01 4.87951970e+00 1.91004050e+00 5.53039730e+00 8.52116790e+00 1.71981730e+01 8.92386400e+01 2.74158100e+02 3.68603170e+01 4.61314370e+01 1.44013390e+02 -2.01539210e-02 1.34166910e-01 4.15141680e-01 1.94304180e-01 5.23731040e-01 1.38005760e+00 2.05798950e-09 3.04743890e-01 1.42582550e-01 6.95178890e-01 2.45384090e-01 2.46714030e-01 2.59091940e+00 6.31555500e+00 8.17654470e-01 9.88637260e-01 4.51374810e-01 6.07510190e-01 2.05798950e+00 1.89455120e+00 1.37100410e+01 1.46850590e+02 1.00448020e+02 8.24093890e-01 1.42107610e+01 2.91249020e+03 1.63426040e+03 3.34501050e+01 3.14299320e+01 2.02017340e+00 4.56096140e+03 2.54494030e+01 3.96803990e+02 2.48091580e+03 9.32104140e+00 1.42107610e+01 1.63426040e+03
14 2.29455780e+03 3.03797180e+00 9.61803310e-01 5.49304790e-04 6.82934320e+01 2.22593340e-02 1.19531870e-01 4.88925120e-02 9.94846410e-01 1.00127470e+00 9.97916690e-01 4.03659220e+01 8.25652350e-01 4.38006380e+00 1.51724010e+00 7.91137240e+00 1.04079830e+01 1.59220870e+01 8.65875720e+01 2.41885000e+02 3.49439830e+01 4.55449540e+01 1.34018500e+02 -1.44514320e-03 1.84927050e-01 5.24431110e-01 3.61947900e-01 4.96627370e-01 1.49332270e+00 2.08628860e-09 3.05395140e-01 1.42436070e-01 6.94527400e-01 2.45350590e-01 2.46680410e-01 2.60655560e+00 7.14655520e+00 8.23898720e-01 9.96975210e-01 4.55307590e-01 6.12476400e-01 2.08628860e+00 1.89193800e+00 1.37232880e+01 1.46944360e+02 1.00353347e+02 8.31274120e-01 1.49367880e+01 2.87117580e+03 1.63411110e+03 3.44459560e+01 3.23756300e+01 2.07032630e+00 4.52022370e+03 2.54545910e+01 3.95693990e+02 2.43997400e+03 1.00532140e+01 1.49367880e+01 1.63411110e+03
1 2.29049410e+03 3.05277420e+00 9.62413590e-01 6.43216200e-04 6.79697520e+01 2.21959880e-02 1.19412860e-01 5.70240080e-02 9.94573550e-01 1.00129410e+00 9.98206270e-01 4.20659240e+01 7.80179980e-01 6.37702420e+00 1.00872770e+00 9.52831540e+00 1.18608960e+01 1.90821080e+01 9.08444350e+01 2.23140350e+02 3.72348040e+01 4.97275860e+01 1.28420100e+02 -3.57554630e-02 1.85534430e-01 5.59177090e-01 3.75372350e-01 5.16086110e-01 1.70077210e+00 2.11740050e-09 3.07915980e-01 1.42253710e-01 6.92005820e-01 2.45324480e-01 2.46654200e-01 2.61868400e+00 7.99771550e+00 8.31794510e-01 1.00892340e+00 4.61564250e-01 6.19618120e-01 2.11740050e+00 1.88917670e+00 1.37557860e+01 1.46977010e+02 9.98999092e+01 8.42697170e-01 2.00465190e+01 2.85179850e+03 1.63357110e+03 3.77860840e+01 3.56057090e+01 2.18037470e+00 4.50541600e+03 2.54720580e+01 3.96869380e+02 2.41711890e+03 1.23380790e+01 2.00465190e+01 1.63357110e+03
3 2.28316720e+03 3.05227410e+00 9.62371380e-01 6.45315910e-04 6.81158890e+01 2.21987310e-02 1.19426880e-01 5.67363040e-02 9.94581150e-01 1.00115930e+00 9.97613830e-01 4.03336090e+01 9.71726710e-01 7.99576070e+00 1.26344560e+00 9.33638810e+00 1.01291450e+01 1.74135210e+01 8.80145690e+01 1.87459400e+02 3.07612120e+01 5.31819880e+01 1.28146990e+02 4.98969380e-02 1.99192410e-01 6.56027540e-01 3.66451060e-01 4.84955830e-01 1.63362030e+00 2.11634170e-09 3.06632320e-01 1.42270480e-01 6.93289820e-01 2.45325610e-01 2.46655340e-01 2.61815860e+00 7.96915370e+00 8.32088450e-01 1.00819670e+00 4.60763910e-01 6.19190060e-01 2.11634170e+00 1.88931890e+00 1.37423540e+01 1.46968670e+02 1.00109016e+02 8.41235960e-01 1.75509230e+01 2.84380270e+03 1.63383380e+03 3.55735190e+01 3.24024580e+01 3.17106060e+00 4.49518740e+03 2.55128350e+01 3.96795500e+02 2.40955180e+03 1.19425120e+01 1.75509230e+01 1.63383380e+03
1 2.25806600e+03 3.06038470e+00 9.63572600e-01 6.45315910e-04 6.81158890e+01 2.21987310e-02 1.19426880e-01 5.67363040e-02 1.00131620e+00 9.99390500e-01 9.97392870e-01 4.02924450e+01 3.61165860e-01 7.92421970e+00 3.54172480e+00 1.00273290e+01 1.02775670e+01 1.84056180e+01 9.05094000e+01 1.72495010e+02 3.41549270e+01 4.03211410e+01 1.28421150e+02 1.01535270e-01 1.78349160e-01 4.85766530e-01 3.31257680e-01 7.07146820e-01 1.66767100e+00 2.13357640e-09 3.06632320e-01 1.42270480e-01 6.93289820e-01 2.45325610e-01 2.46655340e-01 2.61815860e+00 7.96915370e+00 8.35854290e-01 1.01275960e+00 4.62849220e-01 6.21992370e-01 2.13357640e+00 1.90470480e+00 1.37423540e+01 1.46968670e+02 1.00109016e+02 8.45043200e-01 1.75509230e+01 2.81199910e+03 1.63383380e+03 2.63741000e+01 2.18473940e+01 4.52670640e+00 4.46338380e+03 2.47020690e+01 3.96727160e+02 2.37900540e+03 1.15644490e+01 1.75509230e+01 1.63383380e+03
