# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
2 2.33094660e+03 2.56949120e+00 9.41795270e-01 -9.13641220e-02 7.65648780e+01 4.39399080e-02 1.60110900e-01 3.97139920e-01 1.30591790e-09 3.49180090e-01 2.04695670e-01 6.50758280e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.80650960e-02 5.49306860e-02 2.84023680e-02 3.69481060e-02 1.30591790e+00 5.90152850e-01 1.26440770e+01 1.56704870e+02 1.19980893e+02 5.18553930e-02 3.02747610e+03 1.63312090e+03 6.48161230e-01 6.48161230e-01 4.66059690e+03 3.02747610e+03 1.63312090e+03
1 2.23919170e+03 2.08122690e+00 1.15772640e+00 -7.40631300e-02 8.58906850e+01 5.58695630e-02 1.77696170e-01 6.06672050e-01 8.01429590e-10 3.17478570e-01 2.34210600e-01 6.82472460e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.81845700e-02 6.27819490e-02 3.27842340e-02 4.36753540e-02 8.01429590e-01 2.38186270e-01 1.14092280e+01 1.40765040e+02 1.20904057e+02 5.98555480e-02 2.83772180e+03 1.63936530e+03 6.48161230e-01 6.48161230e-01 4.47708700e+03 2.83772180e+03 1.63936530e+03
1 1.21524190e+03 2.07870750e+00 1.16031510e+00 -1.27793020e-01 7.12131370e+01 4.85518260e-02 1.21602530e-01 6.51658690e-01 7.99413020e-10 3.36795020e-01 1.70799220e-01 6.63133750e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 2.65583990e-02 3.14718170e-02 1.54129120e-02 2.02322090e-02 7.99413020e-01 2.17143920e-01 1.39479580e+01 1.57289720e+02 1.12010944e+02 2.81399990e-02 7.89798330e+02 1.63938920e+03 6.48161230e-01 6.48161230e-01 2.42918750e+03 7.89798330e+02 1.63938920e+03
3 8.54290420e+02 3.60150880e+00 9.72250140e-01 -1.41280210e-01 7.13258680e+01 6.11150240e-02 1.20962460e-01 7.81027270e-01 3.66534940e-09 3.59167920e-01 1.82722350e-01 6.40761070e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.75374170e-02 7.99688610e-02 4.04755920e-02 5.22840030e-02 3.66534940e+00 7.68641300e-01 1.36730840e+01 1.45555330e+02 1.03818603e+02 7.38979830e-02 7.36827290e+01 1.63360180e+03 6.48161230e-01 6.48161230e-01 1.70728450e+03 7.36827290e+01 1.63360180e+03
21 8.50121470e+02 3.70533650e+00 1.03404640e+00 -1.32422190e-01 6.38057640e+01 4.51831120e-02 9.16310920e-02 6.80442650e-01 4.06637290e-09 3.37639750e-01 1.37459070e-01 6.62271510e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.62001060e-02 8.28759900e-02 3.84667480e-02 5.04628850e-02 4.06637290e+00 1.04275490e+00 1.54898720e+01 1.62110510e+02 1.03435849e+02 7.02303520e-02 6.04961060e+01 1.63845050e+03 6.48161230e-01 6.48161230e-01 1.69894660e+03 6.04961060e+01 1.63845050e+03
3 8.48099570e+02 2.84930900e+00 1.11426980e+00 -1.32155750e-01 6.49513590e+01 4.82993710e-02 9.40473260e-02 4.56849690e-01 1.72758400e-09 3.38948670e-01 1.42991560e-01 6.60965690e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.39845200e-02 5.45765070e-02 2.56074790e-02 3.35608800e-02 1.72758400e+00 6.92826610e-01 1.51779620e+01 1.58450180e+02 1.02915545e+02 4.67526460e-02 5.71470240e+01 1.63775580e+03 6.48161230e-01 6.48161230e-01 1.69490280e+03 5.71470240e+01 1.63775580e+03
32 8.47875490e+02 2.90048120e+00 8.30679390e-01 -1.31187520e-01 6.49161110e+01 4.80972070e-02 9.38540650e-02 4.59682740e-01 1.81828920e-09 3.38378520e-01 1.42596140e-01 6.61535760e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.86556880e-02 6.03889360e-02 2.83031660e-02 3.71094330e-02 1.81828920e+00 7.25082820e-01 1.51865530e+01 1.58634580e+02 1.02979400e+02 5.16742740e-02 5.66215470e+01 1.63783310e+03 6.48161230e-01 6.48161230e-01 1.69445470e+03 5.66215470e+01 1.63783310e+03
1 8.29839950e+02 2.70639810e+00 8.60361060e-01 -1.30477730e-01 6.58834190e+01 5.35454140e-02 1.07445220e-01 3.70920830e-01 1.49752390e-09 3.72378410e-01 1.61635500e-01 6.27538360e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.46808680e-02 5.50469850e-02 2.72655240e-02 3.49033990e-02 1.49752390e+00 7.13174860e-01 1.45694830e+01 1.52501770e+02 1.00473380e+02 4.97798080e-02 2.71361450e+01 1.63124740e+03 6.48161230e-01 6.48161230e-01 1.65838360e+03 2.71361450e+01 1.63124740e+03
1 8.30509910e+02 2.53036900e+00 8.45164990e-01 -1.27054130e-01 6.49239810e+01 5.05404200e-02 1.03029920e-01 1.52173420e-01 1.25581400e-09 3.65861660e-01 1.54215200e-01 6.34052630e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.07139520e-02 5.05289980e-02 2.46264440e-02 3.16644890e-02 1.25581400e+00 9.26294650e-01 1.48386840e+01 1.55536350e+02 1.00980390e+02 4.49615300e-02 2.79581130e+01 1.63176540e+03 6.48161230e-01 6.48161230e-01 1.65972350e+03 2.79581130e+01 1.63176540e+03
16 8.32024250e+02 2.51913100e+00 8.50744440e-01 -1.31478440e-01 6.51019580e+01 5.27811320e-02 1.06426130e-01 1.30985930e-01 1.24178010e-09 3.77164080e-01 1.59852130e-01 6.22750680e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.05954720e-02 5.03130410e-02 2.49311750e-02 3.18134060e-02 1.24178010e+00 9.55590370e-01 1.47005250e+01 1.53351880e+02 9.98350765e+01 4.55178910e-02 3.17761040e+01 1.63097610e+03 6.48161230e-01 6.48161230e-01 1.66275220e+03 3.17761040e+01 1.63097610e+03
4 8.30880810e+02 3.17827110e+00 8.46999020e-01 -1.26787420e-01 6.11289690e+01 4.15780010e-02 9.76805910e-02 1.58725470e-01 2.40052150e-09 3.74398680e-01 1.39903460e-01 6.25504640e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.09989830e-02 6.52285890e-02 3.12053220e-02 3.98928530e-02 2.40052150e+00 1.74758540e+00 1.57211230e+01 1.66071270e+02 1.01517655e+02 5.69728630e-02 2.92757100e+01 1.63118960e+03 6.48161230e-01 6.48161230e-01 1.66046530e+03 2.92757100e+01 1.63118960e+03
7 8.26854540e+02 2.98843440e+00 1.05390000e+00 -1.16474740e-01 5.14437130e+01 2.31079390e-02 7.92789120e-02 2.77070410e-01 1.98545750e-09 3.89319650e-01 1.03031720e-01 6.10543840e-01 2.45701460e-01 2.47032560e-01 2.45431900e+00 10 3.48962880e-02 4.86533870e-02 2.17737080e-02 2.75648610e-02 1.98545750e+00 1.14077580e+00 1.85333700e+01 1.95275730e+02 1.00457086e+02 3.97531700e-02 2.16118090e+01 1.63080090e+03 6.48161230e-01 6.48161230e-01 1.65241280e+03 2.16118090e+01 1.63080090e+03
25 8.26545230e+02 2.92678700e+00 1.12559520e+00 -1.16595300e-01 5.14566340e+01 2.32243990e-02 7.96638100e-02 2.96612680e-01 1.86675560e-09 3.91017660e-01 1.03533080e-01 6.08845900e-01 2.45754970e-01 2.47086260e-01 2.43456540e+00 10 3.31339520e-02 4.61904880e-02 2.07191260e-02 2.62012690e-02 1.86675560e+00 1.03146140e+00 1.85069580e+01 1.95033570e+02 1.00357710e+02 3.78277750e-02 2.09584760e+01 1.63083570e+03 6.48161230e-01 6.48161230e-01 1.65179410e+03 2.09584760e+01 1.63083570e+03
11 8.26550120e+02 2.64217560e+00 1.09159570e+00 -1.17267210e-01 5.12377670e+01 2.32200530e-02 7.82993950e-02 3.51081900e-01 1.40437240e-09 3.89151620e-01 1.02164310e-01 6.10710770e-01 2.45753100e-01 2.47084380e-01 2.43530020e+00 10 2.89592720e-02 4.04568940e-02 1.80653780e-02 2.28726950e-02 1.40437240e+00 6.95883300e-01 1.86122930e+01 1.95178010e+02 1.00004854e+02 3.29827170e-02 2.10088030e+01 1.63079510e+03 6.48161230e-01 6.48161230e-01 1.65180390e+03 2.10088030e+01 1.63079510e+03
46 8.27655530e+02 2.29822710e+00 1.05673640e+00 -1.17849230e-01 5.15730960e+01 2.45118770e-02 7.92840190e-02 3.29726330e-01 9.95651520e-10 3.92666290e-01 1.04440760e-01 6.07197880e-01 2.46231850e-01 2.47564880e-01 2.22947810e+00 10 2.52714720e-02 3.51899730e-02 1.58358850e-02 2.00049030e-02 9.95651520e-01 5.14885550e-01 1.84318080e+01 1.92643870e+02 9.93524080e+01 2.89122390e-02 2.31164400e+01 1.63089830e+03 6.48161230e-01 6.48161230e-01 1.65401470e+03 2.31164400e+01 1.63089830e+03
9 8.27556870e+02 1.92622790e+00 1.08781280e+00 -1.17820020e-01 5.15677920e+01 2.44835020e-02 7.92810320e-02 3.30054260e-01 6.86357150e-10 3.92629140e-01 1.04409400e-01 6.07235000e-01 2.46220330e-01 2.47553310e-01 2.23370880e+00 10 2.07667350e-02 2.89187120e-02 1.30124620e-02 1.64385630e-02 6.86357150e-01 3.54706110e-01 1.84343580e+01 1.92696150e+02 9.93691498e+01 2.37573970e-02 2.29206370e+01 1.63089680e+03 6.48161230e-01 6.48161230e-01 1.65381740e+03 2.29206370e+01 1.63089680e+03
5 8.23942650e+02 3.65156260e+00 9.08449710e-01 -1.15380040e-01 5.45628050e+01 3.01966120e-02 8.94616570e-02 2.61230270e-01 3.85348350e-09 4.04095090e-01 1.20303140e-01 5.95783560e-01 2.48198760e-01 2.49538910e-01 1.56851220e+00 10 5.82029200e-02 7.87945960e-02 3.69987080e-02 4.64050950e-02 3.85348350e+00 2.28534500e+00 1.72128870e+01 1.81857700e+02 9.92266622e+01 6.75500910e-02 1.45300300e+01 1.63205890e+03 6.48161230e-01 6.48161230e-01 1.64658900e+03 1.45300300e+01 1.63205890e+03
