# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau A_planck calib_100T calib_217T A_cib_217 xi_sz_cib A_sz ksz_norm gal545_A_100 gal545_A_143 gal545_A_143_217 gal545_A_217 ps_A_100_100 ps_A_143_143 ps_A_143_217 ps_A_217_217 galf_TE_A_100 galf_TE_A_100_143 galf_TE_A_100_217 galf_TE_A_143 galf_TE_A_143_217 galf_TE_A_217 As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__CMB chi2__SN minuslogprior minuslogprior__0 minuslogprior__SZ chi2 chi2__planck_2018_lowl.TT chi2__planck_2018_lowl.EE chi2__planck_2018_highl_plik.TTTEEE chi2__planck_2018_lensing.clik chi2__bao.desi_dr2 chi2__sn.desdovekie
3 4.69532420e+03 3.05154080e+00 9.74256150e-01 4.90859710e-04 6.31556060e+01 2.23302120e-02 1.19650640e-01 5.27585760e-02 9.98924320e-01 1.00180360e+00 9.98444220e-01 7.03289490e+01 1.25373680e-01 1.88835520e+00 1.52255930e+00 7.34667390e+00 1.18331710e+01 1.99383730e+01 9.04954040e+01 3.42374760e+02 4.41889470e+01 3.01922840e+01 9.08210370e+01 1.16298910e-01 1.62160810e-02 6.09394060e-01 3.28939210e-01 7.33594190e-01 1.79186240e+00 2.11479040e-09 3.57580650e-01 1.42625720e-01 6.42328770e-01 2.45379510e-01 2.46709440e-01 2.59306740e+00 7.50536110e+00 8.16010680e-01 1.02680950e+00 4.87958460e-01 6.31014510e-01 2.11479040e+00 1.90301330e+00 1.41905620e+01 1.46877320e+02 9.27612615e+01 8.90886180e-01 3.47564840e+02 7.34440580e+03 1.63458290e+03 3.20474770e+01 2.86653340e+01 3.38214270e+00 9.32655350e+03 2.17255380e+01 3.95955220e+02 6.90512570e+03 2.15993780e+01 3.47564840e+02 1.63458290e+03
2 2.79439050e+03 3.05418420e+00 9.76272980e-01 3.86131340e-04 6.65703650e+01 2.25271160e-02 1.18844730e-01 5.45013870e-02 9.99026640e-01 1.00010770e+00 9.97797820e-01 4.35019780e+01 2.55857260e-01 2.24123770e+00 2.20553470e+00 6.86599650e+00 1.26434740e+01 2.10158180e+01 1.08805860e+02 2.82002130e+02 3.91134390e+01 3.84336910e+01 1.20604800e+02 9.56418010e-02 -7.06524030e-02 6.24573570e-01 1.58586640e-01 7.90954060e-01 2.12392460e+00 2.12038810e-09 3.20462770e-01 1.42016710e-01 6.79455710e-01 2.45453970e-01 2.46784170e-01 2.55703670e+00 7.64425830e+00 8.20868780e-01 1.00608180e+00 4.64689150e-01 6.17615430e-01 2.12038810e+00 1.90141120e+00 1.38908530e+01 1.46950300e+02 9.78253511e+01 8.48402430e-01 6.82564350e+01 3.80876920e+03 1.63182090e+03 3.99672840e+01 3.71856860e+01 2.78159870e+00 5.50884650e+03 2.19526910e+01 3.96028070e+02 3.37596980e+03 1.48186080e+01 6.82564350e+01 1.63182090e+03
1 2.73751800e+03 3.05164560e+00 9.72764710e-01 3.86131340e-04 6.65703650e+01 2.25271160e-02 1.18844730e-01 5.45013870e-02 9.97621590e-01 1.00049140e+00 9.97764460e-01 3.86352810e+01 5.06530240e-02 4.01379110e+00 2.81415450e+00 6.28695620e+00 1.09537810e+01 2.32782270e+01 1.14436070e+02 2.69113500e+02 3.47950230e+01 3.26783780e+01 1.23566790e+02 1.05121700e-01 -1.80765170e-02 6.59460900e-01 1.11388680e-01 6.36214900e-01 1.96549230e+00 2.11501210e-09 3.20462770e-01 1.42016710e-01 6.79455710e-01 2.45453970e-01 2.46784170e-01 2.55703670e+00 7.64425830e+00 8.18750450e-01 1.00348550e+00 4.63489970e-01 6.16021610e-01 2.11501210e+00 1.89659040e+00 1.38908530e+01 1.46950300e+02 9.78253511e+01 8.46213040e-01 6.82564350e+01 3.70815240e+03 1.63182090e+03 3.34031610e+01 3.13817450e+01 2.02141640e+00 5.40822970e+03 2.25932650e+01 3.96057310e+02 3.27530370e+03 1.41981070e+01 6.82564350e+01 1.63182090e+03
4 2.46121420e+03 3.05660740e+00 9.71985410e-01 4.06698340e-04 6.75124380e+01 2.26354480e-02 1.19299230e-01 5.63032310e-02 9.97459740e-01 1.00027350e+00 9.96875260e-01 2.02803370e+01 1.88791630e-01 5.70411980e+00 4.00270100e+00 2.03678720e+00 4.21774450e+00 1.91246200e+01 1.18119050e+02 2.65209310e+02 3.94195500e+01 3.91877430e+01 1.43341050e+02 1.04096670e-01 2.57502790e-02 8.38350580e-01 1.65590660e-01 6.51310070e-01 2.56155490e+00 2.12553230e-09 3.12816480e-01 1.42579540e-01 6.87104250e-01 2.45492000e-01 2.46822340e-01 2.53810130e+00 7.81510210e+00 8.25140860e-01 1.00423700e+00 4.61501280e-01 6.17092830e-01 2.12553230e+00 1.89916780e+00 1.37903880e+01 1.46694910e+02 9.90373102e+01 8.42582210e-01 3.56526610e+01 3.15846950e+03 1.63272550e+03 4.77903370e+01 4.50410210e+01 2.74931550e+00 4.82684770e+03 2.30737810e+01 3.96378840e+02 2.72539390e+03 1.36229990e+01 3.56526610e+01 1.63272550e+03
2 2.40183990e+03 3.05454420e+00 9.67720980e-01 4.06698340e-04 6.75124380e+01 2.26354480e-02 1.19299230e-01 5.63032310e-02 9.96188950e-01 1.00080420e+00 9.99120870e-01 1.92727790e+01 2.11444770e-01 4.20142690e+00 7.79180780e+00 4.19253020e+00 6.61704600e+00 2.10851580e+01 1.23818760e+02 2.83863340e+02 1.49451330e+01 1.72494340e+01 1.26063970e+02 2.22026070e-01 1.33779140e-01 7.28512010e-01 2.40398160e-01 5.01297760e-01 2.58424620e+00 2.12115150e-09 3.12816480e-01 1.42579540e-01 6.87104250e-01 2.45492000e-01 2.46822340e-01 2.53810130e+00 7.81510210e+00 8.22956150e-01 1.00157800e+00 4.60279370e-01 6.15458970e-01 2.12115150e+00 1.89525360e+00 1.37903880e+01 1.46694910e+02 9.90373102e+01 8.40351310e-01 3.56526610e+01 3.05693500e+03 1.63272550e+03 3.91833710e+01 3.57690920e+01 3.41427890e+00 4.72531310e+03 2.40601790e+01 3.96445430e+02 2.62328480e+03 1.31446070e+01 3.56526610e+01 1.63272550e+03
5 2.32477350e+03 3.02737600e+00 9.65464740e-01 4.02688250e-04 6.86520510e+01 2.26028920e-02 1.19975540e-01 4.12867760e-02 9.96819250e-01 1.00047180e+00 9.98744170e-01 3.39246080e+01 3.28996290e-01 5.61721990e+00 4.23581650e+00 3.66660190e+00 6.00498730e+00 1.79419800e+01 1.06619980e+02 2.22666270e+02 2.23913190e+01 2.99769150e+01 1.18521010e+02 1.38535160e-01 1.00679030e-01 8.51579700e-01 2.05606700e-01 5.03517760e-01 2.95747740e+00 2.06429940e-09 3.03883160e-01 1.43223300e-01 6.96040190e-01 2.45480470e-01 2.46810770e-01 2.54377820e+00 6.26271700e+00 8.17363550e-01 9.86480510e-01 4.50576550e-01 6.06864770e-01 2.06429940e+00 1.90069070e+00 1.36723160e+01 1.46555070e+02 1.00613061e+02 8.22636470e-01 1.29519730e+01 2.91926150e+03 1.63447430e+03 4.14296270e+01 3.86418830e+01 2.78774370e+00 4.56668770e+03 2.43801320e+01 3.96937550e+02 2.48869340e+03 9.25037290e+00 1.29519730e+01 1.63447430e+03
5 2.32118200e+03 3.03103420e+00 9.69636830e-01 4.02688250e-04 6.86520510e+01 2.26028920e-02 1.19975540e-01 4.12867760e-02 9.98805790e-01 1.00041480e+00 9.98974720e-01 3.62811590e+01 3.22620850e-01 8.16330100e+00 1.95413220e+00 3.88011580e+00 6.30586860e+00 1.98490320e+01 1.07197460e+02 1.96730680e+02 1.80749820e+01 3.25696180e+01 1.18719000e+02 9.93475530e-02 1.02674380e-01 7.68851680e-01 2.31353320e-01 4.84125210e-01 2.76355420e+00 2.07186480e-09 3.03883160e-01 1.43223300e-01 6.96040190e-01 2.45480470e-01 2.46810770e-01 2.54377820e+00 6.26271700e+00 8.20181690e-01 9.89881740e-01 4.52130070e-01 6.08957140e-01 2.07186480e+00 1.90765650e+00 1.36723160e+01 1.46555070e+02 1.00613061e+02 8.25472790e-01 1.29519730e+01 2.91910960e+03 1.63447430e+03 3.79140630e+01 3.42065230e+01 3.70753920e+00 4.56653580e+03 2.33964400e+01 3.97048500e+02 2.48910900e+03 9.55566240e+00 1.29519730e+01 1.63447430e+03
4 2.31786380e+03 3.02035510e+00 9.65132780e-01 4.02688250e-04 6.86520510e+01 2.26028920e-02 1.19975540e-01 4.12867760e-02 9.93610540e-01 1.00123500e+00 9.98491330e-01 3.76446290e+01 6.33833810e-01 8.44503540e+00 2.35797260e+00 5.66652620e+00 8.57225000e+00 1.68453460e+01 9.86515980e+01 2.18263070e+02 1.91887040e+01 4.19492660e+01 1.19786270e+02 1.20438680e-01 9.30226750e-02 7.19738810e-01 2.32902050e-01 4.88976600e-01 2.81057830e+00 2.04985690e-09 3.03883160e-01 1.43223300e-01 6.96040190e-01 2.45480470e-01 2.46810770e-01 2.54377820e+00 6.26271700e+00 8.14394870e-01 9.82897590e-01 4.48940040e-01 6.04660620e-01 2.04985690e+00 1.88739280e+00 1.36723160e+01 1.46555070e+02 1.00613061e+02 8.19648630e-01 1.29519730e+01 2.91495840e+03 1.63447430e+03 3.66714780e+01 3.23996340e+01 4.27184370e+00 4.56238470e+03 2.44125880e+01 3.96937550e+02 2.48447600e+03 9.13236340e+00 1.29519730e+01 1.63447430e+03
19 2.30102960e+03 3.01763320e+00 9.65136550e-01 3.85640250e-04 6.82582660e+01 2.25981450e-02 1.19938710e-01 3.99041380e-02 9.93668970e-01 1.00105020e+00 9.98319090e-01 4.24143050e+01 8.47989790e-01 7.81482440e+00 4.33134400e-01 2.39367930e+00 1.05317200e+01 1.96326040e+01 9.66378740e+01 2.61411500e+02 3.38523860e+01 5.09231330e+01 1.20334290e+02 1.31486350e-01 1.25412510e-01 6.66617820e-01 2.98320670e-01 4.67113870e-01 2.65717020e+00 2.04428510e-09 3.07310280e-01 1.43181730e-01 6.92612190e-01 2.45478810e-01 2.46809100e-01 2.54460580e+00 6.10647160e+00 8.11626430e-01 9.82377830e-01 4.49929760e-01 6.04297020e-01 2.04428510e+00 1.88747480e+00 1.37082090e+01 1.46582530e+02 1.00054693e+02 8.21455600e-01 1.79172270e+01 2.87777390e+03 1.63371510e+03 3.63264950e+01 3.36527240e+01 2.67377090e+00 4.52940620e+03 2.42749020e+01 3.97332220e+02 2.44710530e+03 9.06142870e+00 1.79172270e+01 1.63371510e+03
7 2.29748670e+03 3.01796410e+00 9.65093090e-01 3.85640250e-04 6.82582660e+01 2.25981450e-02 1.19938710e-01 3.99041380e-02 9.93815560e-01 1.00059020e+00 9.97580440e-01 3.73063850e+01 8.78249060e-01 7.42743290e+00 2.72227580e+00 6.00335520e+00 9.53373570e+00 1.45120080e+01 8.88446330e+01 2.02122990e+02 2.20986220e+01 4.98721680e+01 1.25476110e+02 1.44307970e-01 1.53829750e-01 7.88449910e-01 3.69058330e-01 6.66433520e-01 2.72350410e+00 2.04496170e-09 3.07310280e-01 1.43181730e-01 6.92612190e-01 2.45478810e-01 2.46809100e-01 2.54460580e+00 6.10647160e+00 8.11747190e-01 9.82524000e-01 4.49996710e-01 6.04386930e-01 2.04496170e+00 1.88809950e+00 1.37082090e+01 1.46582530e+02 1.00054693e+02 8.21577830e-01 1.79172270e+01 2.87067360e+03 1.63371510e+03 3.63337000e+01 3.28676510e+01 3.46604840e+00 4.52230590e+03 2.42877590e+01 3.97332220e+02 2.43998700e+03 9.06652230e+00 1.79172270e+01 1.63371510e+03
